,Unnamed: 0,global_id,Caption,NameOfStation,lat,long
458,458,1774040,metro,Сходненская,55.8492661,37.4406824
459,459,1774041,metro,Сходненская,55.849604,37.441083
460,460,1774042,metro,Таганская,55.7393895,37.6529419
461,461,1774043,metro,Таганская,55.7396869,37.6534996
462,462,1774044,metro,Таганская,55.7395075,37.653618
463,463,1774045,metro,Чистые пруды,55.7649693,37.6382452
464,464,1774046,metro,Шоссе Энтузиастов,55.758527,37.751631
465,465,1774047,metro,Таганская,55.7423722,37.6535961
466,466,1774049,metro,Текстильщики,55.708138,37.729918
467,467,1774050,metro,Текстильщики,55.708983,37.733556
468,468,1774051,metro,Текстильщики,55.709499,37.733305
469,469,1774053,metro,Текстильщики,55.708977,37.73322
470,470,1774054,metro,Домодедовская,55.611579,37.720775
471,471,1774055,metro,Алма-Атинская,55.6334736,37.7650605
472,472,1774056,metro,Площадь Ильича,55.7464401,37.6790124
473,473,1774059,metro,Шоссе Энтузиастов,55.758464,37.7513205
474,474,1774060,metro,Шоссе Энтузиастов,55.758443,37.751679
475,475,1774061,metro,Перово,55.751243,37.784696
476,476,1774062,metro,Домодедовская,55.610832,37.720523
477,477,1774063,metro,Шаболовская,55.718765,37.6081344
478,478,1774064,metro,Шипиловская,55.6221781,37.7439051
479,479,1774065,metro,Шипиловская,55.62029,37.7442272
480,480,1774066,metro,Шипиловская,55.6221086,37.7425049
481,481,1774067,metro,Щёлковская,55.809924,37.799173
482,482,1774068,metro,Щёлковская,55.809836,37.798304
483,483,1774069,metro,Щёлковская,55.808367,37.798438
484,484,1774070,metro,Щёлковская,55.810575,37.798828
485,485,1774071,metro,Щёлковская,55.810529,37.79829
486,486,1774072,metro,Щёлковская,55.808374,37.798854
487,487,1774073,metro,Щукинская,55.8089913,37.4629558
488,488,1774074,metro,Щукинская,55.8093474,37.4632352
489,489,1774075,metro,Щукинская,55.8077329,37.4654909
490,490,1774076,metro,Щукинская,55.807997,37.465866
491,491,1774077,metro,Электрозаводская,55.782136,37.705514
492,492,1774078,metro,Юго-Западная,55.6627839,37.4820889
493,493,1774079,metro,Юго-Западная,55.6629904,37.4821613
494,494,1774080,metro,Юго-Западная,55.6625384,37.4831377
495,495,1774081,metro,Юго-Западная,55.6645394,37.4842914
496,496,1774082,metro,Юго-Западная,55.6643713,37.4841919
497,497,1774083,metro,Юго-Западная,55.6627638,37.4832504
498,498,1774084,metro,Юго-Западная,55.6646016,37.4831888
499,499,1774085,metro,Юго-Западная,55.6647681,37.4833208
500,500,1774086,metro,Южная,55.6213608,37.6077169
501,501,1774087,metro,Южная,55.6235439,37.6090425
